sentence,emotion
i was severely tempted to change my shirt afterwards but for some odd reason i didnt feel hostile tonight,anger
i find it ridiculous how often i feel annoyed or irritated,anger
i feel have wronged me that i cannot bring myself to forgive,anger
i spent a lot of my first year feeling angry at myself awkward confused depressed fat,anger
i have a feeling that grumpy cat might not do very well as aquaman but he does make a pretty dashing batman dont you think,anger
i feel like tour managers have a reputation for looking pissed off,anger
ive been feeling quite rebellious lately,anger
im feeling slightly agitated,anger
i cannot emphasize enough how my efforts are so often left unnoticed and how fucking unappreciated i feel i hate how fucking insincere people are and how peoples whole lives revolve around how other perceive them,anger
i wrote here because i always wrote here even when it was starting to feel like a job that i hated,anger
i feel irritable i guess,anger
i am a full time mum and constantly feel like i am having tea with the mad hatter and tumbling down the rabbit hole and i will swear i didnt steal the jam tarts i dont like tarts,anger
i remember feeling very irritated that i couldn t get that fellow to move in farther,anger
i feel that this culture is unfriendly to mothers,anger
my main disgust is against codfish because i detest even the smell of it,anger
i don t want to feel aggravated,anger
i recall feeling envious of the artists who could wake up leisurely and paint to their hearts content long days filled with canvas and acrylic cups of tea music freedom,anger
i feel irritable too,anger
i guess the question is am i a jerk for feeling resentful,anger
i look forward to because i have a feeling the partner i had today thought i was completely and utterly mad,anger
i even feel it is rude,anger
i know when you are feeling stubborn you know,anger
recently in the tram,anger
i must ask if my column makes you feel so hateful why do you keep logging on,anger
i am feeling bitchy,anger
i can watch netflix for hours and feel just as stressed afterwards as i did when i started watching,anger
i hate when i feel agitated even my clothes feel like they are restricting me,anger
i feel bitchy form that,anger
i can feel the bitchy mood coming out,anger
i feel really impatient with my life,anger
i am feeling particularly grumpy today,anger
i can t just help but feel angered by the stupidity of the panel,anger
i cant help but feeling ronnie is an impatient kid who wants something and doesnt want to wait until the time is appropriate,anger
i feel so disgusted right now so inferior such like a failure,anger
i am feeling all outraged this article also irritated me,anger
i feel angry that the meds arent working as well as they would if i werent hormonal,anger
i feeling so dissatisfied and uneasy,anger
i feel like most of my life people have translated that to you can walk over her she cant be offended she has no opinion will always be loyal,anger
i am not wavering about my response to christmas but feel bothered by my perception that my decision further minoritises us,anger
i feel pretty disgusted with myself honestly,anger
i admit to being a bit of a neat freak but i feel agitated when my house is in a state of disarray,anger
i really feel cranky,anger
i was still feeling irritated and decided what i really needed was a hair cut,anger
i feel like its so obnoxious to show off how in love you are in public,anger
i mailed off my old camera today and my new one still hasnt arrived yet i am feeling very cranky,anger
i feel selfish that i leave them for attending kirtans but i convince my myself that they are taken care of so nicely by my mother in law and yolie,anger
i feel completely insulted that someone would think their title allows them to kick another employee out of their office,anger
i have a feeling i might start getting distracted again if im not already,anger
i actually got a feeling thats she cant handle with pupils at school cause were so stubborn and hyperactive lol,anger
i feel more agitated when its all just little things,anger
ive been feeling rather jealous,anger
i was going to write this post earlier today i was still feeling out of sorts and somewhat resentful over the whole episode and was going to complain and vent my negative emotions,anger
i think that flirting with other women especiall gorgeous women will lead you to feeling dissatisfied with your own wife,anger
i feel so stressed hearing marital problems,anger
i thought id alwayz feel held back dissatisfied angry,anger
im feeling stressed and over whelmed with the race hell set me right and keep the ball rolling,anger
i feel like i shouldnt bother people with these petty stupid little pathetic thoughts i feel like no one really would care to know what really goes on inside my head,anger
i might take it to the extreme many of us have the same response of wanting to retaliate when we feel we have been wronged or someone has said or done something to hurt us,anger
i just finished listening to the latest episode of the rue morgue podcast and was kind of left feeling insulted afterward,anger
i was just feeling very frustrated,anger
i write news pieces i tend to keep my personal opinions out of them but honestly this time i feel that axl is just being stubborn and unforgiving,anger
when a very close friend with whom i have a very intimate and bodily relationship he had a girlfriend started to avoid me and didnt want to talk to me any more,anger
im feeling hateful,anger
i really despise feel irritated with myself for not liking that feeling,anger
i got myself ready for another busy work week which will undoubtedly see me being swamped with plenty of last minute work i started feeling bitter,anger
i feel that my ex is about to start using them as pawns again in her game of life just because i want to move on and start again she is getting bitchy again,anger
i feel cranky tonight so im not really updating properly,anger
i become aware that i m feeling impatient and thinking things are not going fast enough i can choose to change my thinking and remind myself that god s timing is perfect,anger
i look back i feel tortured,anger
i continue to feel increasingly irritated towards the discrimination by cinemas towards people are deaf,anger
i feel like ive gone mad with wanting more pain or anger or both,anger
i started to feel dissatisfied with temping,anger
i feel like he gets mad at me for the smallest things and he doesnt see it,anger
i feel slightly annoyed but if i step out of entitled ego i realize that rest is good for bodies even chicken bodies and i can chuckle imagining a chicken council with the elected madame being given her daily pass in rotation,anger
i feel like i gave my time to such a hateful person when it was my kids who really needed me,anger
i am feeling irritable and cranky often,anger
i feel envious of newly married couples that have begun to start their lives together,anger
i feel like he doesnt like me or is mad,anger
i just wish i didnt feel like my roommates hated me half the time,anger
i feel disgusted every time it moves,anger
i feel slightly aggravated and im not sure why,anger
i can t help but feel envious really,anger
im not saying its that way when theyre busy and relax to eat without feeling rushed,anger
i cant do either of these things so i end up trying my hardest to suppress these feelings which makes me irritable and is very tiring,anger
i catch myself just being whiny about the weather just because im feeling grouchy and the weather is something easy to bitch about,anger
i feel it takes awhile to dissolve but i m impatient,anger
i ended my night feeling infuriated by our lh fellowship group and by the attitude that others were living but was reminded almost like a thousand times a day that it was impossible to judge others,anger
i wake from naps i feel grouchy,anger
i feel like he is being tortured with this,anger
i feel like a failure especially when she gets violent with me,anger
i am in fact feeling slightly bitchy today but that could be due to the fact that its monday,anger
i feel greedy being the only one in my band but i worked extremely hard to win the prize,anger
i feel like i must have angered the dvd burner gods in another life,anger
i feel a little bit wronged as i had nothing to do with actually hurting the girl at all and her mom makes bucks an hour and shes going to break my balls when i have no job and no money,anger
i do it all to often and in one case recently on an inspection for a single mother i feel like i insulted the client without meaning to be insulting,anger
i dont know who i like i feel so bitchy and flirty,anger
i feel less cranky now,anger
i feel grouchy now the football fans have woken me up from the customary sunday siesta,anger
i dont find that bad i dont feel bitter about it because hey its a good thing to be able to work together with your partner i had that chance before and its fun singtel times its not a bad thing they can do that too i just do whatever i can lor,anger
i feel very insincere,anger
i feel badly about it i dont really like my cranky self so im struggling against the cranky thoughts,anger
im doing something illegal adventurous and wild when really all im doing is feeling grumpy about getting up early for mass,anger
i am carrying a heavy burden and i regret that i feel resentful about that,anger
im feeling the kind of feeling which i hated the most,anger
i still want more in my life i feel like a greedy little bastard like im letting certain people that i used to always be there for down and that things are so drastically different than they were not one year ago,anger
i feel petty for even feeling disappointed,anger
i do not know what to say here i could not get a feeling for this soundtrack it rather distracted me and did not seem to really fit,anger
i see other people writing about love when they have just brokeup and finding another person in his her life i kinda feel so disgusted,anger
i read through what people write on there and i am split between feeling envious of their unrelenting optimism or feeling an amalgamation of disgust dislike intolerance at their mindless ramblings and petty worries,anger
i feel bitchy so ill bitch,anger
i already know from the riot two years ago that there is a significant element at the high school that doesnt live their lives in a state of hope and people with no feeling of anything to lose are always the most dangerous to deal with,anger
i can feel how u feel suddenly when u r angry w me,anger
i feel about those money grabbing heartless jerks,anger
i remember wondering what those people were seeing and coming up with my own versions of their entertainment but never once do i remember feeling envious of them,anger
i got a feeling tt i m gonna breakdown in any moment if i am agitated,anger
i look at you i feel so disgusted,anger
i feel like your mad at me,anger
i feel frustrated that after that more than one thousand people were killed the revolutionaries argue that the victims have reached three thousand and some five thousand disfigured and mutilated for life the way to democracy let alone social equality is still very long,anger
i was happy as i knew where i was going and what to expect but i could still feel the tiredness in my legs and my thigh pain which hadnt bothered me the day before,anger
i then realised how close i was to the edge of slipping into that post natal web of depression feeling a failure and self loathing vicious cycle,anger
i have told my mother that i have the agency to say what i feel tonight i kind of took things a little to far by saying how much i hated byu on facebook and made comments saying its not the lords university and screw byu,anger
i have spent a lifetime trying to accurately express what i feel inside only to find out it is utterly hated and despised by the world,anger
i am feeling a little envious of all those in houston attending quilt market and the quilt show,anger
i remembered that feeling and hated it,anger
i feel pissed my friend didnt offer me a soda,anger
i feel when im feeling the single and the upshot of this is that i frequently cant be bothered with anything other than work because i have to and watching movies for escapism because im unhappy,anger
i feel dissatisfied in my relationships,anger
i feel mocked and hated,anger
i feel angry and bitter around others happiness of a new baby or anything baby related i really do genuinely try not to be its not their fault but sometimes their insensitivity and nativity is frustrating and upsetting to say the least,anger
i dont know i dont quite feel like i did before zombie like irritable cranky depressed anxious me,anger
class leader getting me to do things he did not want to do,anger
i just feel so frustrated not knowing what to do at all putting a smile isnt gonna help anymore,anger
i think its too early in my life for me to be feeling this bitter,anger
i eat i throw up again just sitting at the table chewing on food for mins because i refuse to swallow then feel disgusted and spitting it out,anger
i think my patch just kicked in cause im feeling a little calmer and much less agitated,anger
i constantly feel envious of other people,anger
i never text you anymore because i feel like a bother and like you get annoyed by me,anger
i have been feeling aggravated crappy and whatever i felt yesterday,anger
i feel particularly hostile,anger
i dont usually drink that much but i feel agitated,anger
i feeling like a wronged husband,anger
i get the feeling that eli is jealous of peyton and is throwing games just so he oh for s sake eli peyton,anger
i was feeling greedy and trying to make a lot of money that wasnt so bad,anger
i really understand what it feels to be mad at somebody and not being able to do anything about it,anger
i feel like rude keep popping into his room like that,anger
i feel so angry that cancer is slowly killing my dad,anger
i do two if im feeling impatient or bored or my challenge for the day is too easy,anger
i watched anime and somehow i feel so envy and jealous of how peoples life can turned into something so happening and wonderful even piled up with works and obligations,anger
i left school today feeling a bit irate but thanks to the golden tones of nile and mastodon ive calmed myself down a bit,anger
ive been feeling so impatient and insincere toward my environment,anger
i feel like i am being hated by a million didnt matter to me anymore falsetto when i meet you on the otherside i would reach out to you i swore memories,anger
ive seen in peoples eljay icons pornography and particularly the movie swordfish makes me feel violent and angry,anger
i wanted to borrow lecture notes from a friend and he did not lend me them,anger
i feel wronged for trying to do something right,anger
i feel sort of as though i want to leave university forever because lets face it i am going to probably be the most hated person in the entire universe,anger
i was feeling kind of resentful about it since its april and all,anger
i write i feel a little dissatisfied,anger
i can t help but feel disgusted by these truths we are forced to live with,anger
i feel grumpy i m going to dig out my xl mens pajama s grab a bar of chocolate put my favorite chick flick in the dvd player and treat myself not like a failure of some kind but like a person who is feeling grumpy who maybe just needs some time to herself,anger
im left feeling a bit mad like i plucked an event from this blog and actually did it,anger
i feel like i cant be rebellious,anger
i almost feel greedy overflowing with good things,anger
i feel i must take you under my wing to protect to you from the savage predators that roam the halls of this ghastly thing we call the internet,anger
ill feel no joy watching your kicks at their most violent as you throw everything you have in your last attempt to somehow loosen yourself to gasp just one breath,anger
i feel kinda insulted but then i feel like she might be tryin to point out its not,anger
i feel unnecessarily dissatisfied about life feeling something is missing in spite of having all i know there is a void waiting to be filled,anger
i was feeling grumpy frustrated out of sorts as i struggled with a combination of hot weather messy garden missing my family and just plain jet lag from the trip home,anger
i am feeling cranky and i am tired,anger
i feel like i should feel enraged,anger
i am in general satisfied with alaska and its service but i feel insulted by them and from what i hear i am not the only one,anger
i apologise if you feel annoyed but i dont know where else to seek help when i need it so dearly,anger
i feel pain i get angry my heart rises up with a defense and refuses to be fooled again,anger
i started reading the ideal wife my feelings towards the book were hostile for completely irrational reasons,anger
i know it can be easy to feel dissatisfied and discontent with where you are right now but just be patient,anger
i dont know whats goin on i dont know if i feel more irritated or if its just that time of month,anger
i have decided to be selfish about it for now i am feeling grumpy period coming,anger
i feel it is dangerous to do large amounts of exercise while not consuming carbs,anger
i feel rebellious like i want to start a revolution or at least a riot in the inner cities but unlike other countries our dissafected youth are so busy working to fight the debts incurred on them by the fascist regime they do no have time nor the resources to make a stand against injustice,anger
i realize and i feel sorta petty complaining,anger
i feel put upon aggravated,anger
i know i m attracted to you i know i like the feeling i get when we re kissing i know i like the feeling i get when you smile i know i like looking into your eyes and i know that even with my fucked up past relationship living down the hall i do want to get to know you more,anger
i hate that it is jesuss birthday and i feel all so grouchy and emotionless,anger
i feel like im in dangerous waters even admitting that i have these thoughts,anger
one day i went to town to get my grocery on my way back,anger
i know everyone feels rushed to be a success but there are lots and lots of singers who make it without pushing themselves onto such a fast track,anger
i feel insulted though when hes compared to schaub or ryan,anger
i feel insulted i feel degraded and i feel like the center of attention,anger
i helped but i often ended up feeling resentful and overextended,anger
i truly feel that his words of his songs are sarcastic too,anger
i start feeling impatient and frustrated,anger
i finished my pathfinder campaign earlier this spring i was left feeling dissatisfied,anger
im not holding my breath at the moment because im feeling a bit rushed with other things,anger
i have a feeling there will be jealous men tonight,anger
i wonder if this is just my bias from the fact that i m doing a bible themed anthology and i feel like my intelligence is being insulted,anger
i am feeling grouchy and holding on to a number of feelings that are adding to that grouchiness,anger
im feeling bitter and hostile and it takes an amazing effing show to get me out of my funk,anger
i feel jealous or anything but i just dont like someone who likes to boasts,anger
i hadnt been reduced to tears instead i left feeling annoyed with myself,anger
i understand the danger but i do not feel it is any more dangerous now than when i was a kid,anger
i didnt feel rushed to apply a pesticide,anger
i do not know how readers feel about mlm but personally i hated it as i saw it as a business in which you had to drag your parents your gramps your friends their parents their gramps and their cousins into,anger
i know hes in a sort of no win predicament damned if he shoots too much damned if he doesn t shoot enough but its hard not to feel that kobes refusal to shoot in the second half shots was an attempt to make some kind of a bitchy point like hey you guys can t win without me,anger
i still feel more annoyed than anything,anger
i had been disappointed at the decision to withdraw the childs season tickets last season for those applying for the first time and i feel a rushed and incorrect decision was made by the club to try and recompense for missing out on two sevco gates,anger
i mean businesses and brands make money from making their consumers feel dissatisfied with what they have bored with themselves and therefore needing to change,anger
i feel so angry right now,anger
i feel insulted that this event would be classified as anything other than terrorism,anger
i am nursing him right before bed i feel like i am being slowly tortured to death,anger
i feel intensely jealous just looking at this picture,anger
i courted i could not shake the feeling that i was not in love with her and that i was treading on dangerous grounds,anger
i got the feeling that he totally hated me,anger
i right to feel very offended,anger
i feel less than petty complaining about my family being safe and together,anger
i had worked long and hard on a project when a friend inadvertantly destroyed it i could not forgive him for a long time and at times still get angry at him,anger
i just feel like letting it all out today and with this nausea feeling coming back this fucked up headache that is not going away and whatever is happening to me it just makes me feel that things are turning degrees,anger
i feeling annoyed when people say we are having good life because we are earning sgd that sound really sarcastic because those who say so apparently are having a better life than us in malaysia yes the sgd currency is strong the tax is low the cost of living is lower,anger
i feel greedy and horrible,anger
i feel like our government has pissed away a huge chunk on span style color font family arial sans serif font size,anger
im looking forward to running away from home with josh just so we can feel rebellious and secretive for an afternoon,anger
i feel about the two day heat wave pissed,anger
i can t sleep because i m feeling so pissed off,anger
i was having really bad mood swings and feeling agitated because my colleague has a high blood pressure and the other one has ibs,anger
i think it s the easiest time of year to feel dissatisfied,anger
i look inside myself and i feel angry and outrage that much is clear,anger
i feel so infuriated by so many reasons,anger
i had been having a heated argument with a lover whose intention was that we should marry in the near future and was rejected by her when i started to cry when i stopped crying for a moment she said there,anger
ive a feeling im going to be in for a rude awakening when gil kane leaves the strip and ross andru jumps on board,anger
i feel like i should see it through to the bitter end so thats what im going to do,anger
i still feel the way that i do and i cant help but to be in tears every time i realize how fucked up and mess up i am completely inside,anger
ive reserved the right to feel all stubborn and powerless about it,anger
im feeling really agitated for some reason i think its coz im confused,anger
i ohmygoodness all so feel dangerous it s being but amazing,anger
i feel too distracted though by all the chores needing to be done,anger
i go into the house and feel quite cold to the point where i am shivering,anger
i heard someone genuinely espousing what i said i would feel very hostile to them,anger
im feeling a little stressed and busy these days so just couldnt make the time to sit down and focus on these as much as i should,anger
i have been profiled because of my looks frankly this occurs on a daily basis and i would feel rather insulted if someone made it clear that i wasn t welcome on the bus,anger
i feel selfish and shallow writing this but it has honestly been on my mind,anger
i still feel fucking aggravated,anger
i really feel wronged i dont let go of it,anger
i am sat here feeling irked because all the psychologists she was working with will now be fucked over because after this little cock up she wont trust another one ever,anger
i go through this transition in my life and the roller coaster of emotions continue its easy to feel bitter angry betrayed and much more,anger
im still feeling vv annoyed for some reason so annoyed that i could even tear from the fustration,anger
i feel like those thoughts are vile and disgusting and if i have them my brain tells me that im disgusting for thinking that,anger
i lack the natural ability to nurture without also feeling a little bit resentful,anger
i feel like he should be disgusted or pissed at me,anger
i got the feeling that i really pissed him off unintentionally,anger
i feel vile doing myself and myu a favour and jumping down but then it would hardly help,anger
i do feel frustrated when i cant get certain gears or when spellcast windower users just ws qd faster than me,anger
i think about mull over it i can feel myself becoming irritated and i dont want to have those feelings in my chest today,anger
i think that s why i m feeling a little rebellious about this season of christmas,anger
i could feel myself getting more and more impatient just wanting to know for sure that i would get the yo yo,anger
i can stand the not liking me any more because i have a thick skin but whoever the fuck you are maybe its more important to avoid hurting other peoples feelings over petty drama on sfr,anger
i feel like my father i hate to be bothered,anger
i personally feel it is very dangerous,anger
i remember thinking oh thats why he is the way he is and feeling a little more grace for the thing that seemed to make me the most aggravated,anger
i feel selfish at times cause how could i have done that to another person,anger
im feeling absolutely disgusted about myself they still tell me how gorgeous i am,anger
im pissed i said words about how i feel you wanna be mad at me too,anger
i feel disgusted thinking that this is my foot,anger
i know im guilty myself when i have bad day or feeling stressed out or just plain blah that i can focus on the negatives instead of the positives,anger
i can feel myself slowly but surely getting pissed off,anger
i feel cranky coming on,anger
i also have to confess that ive been feeling pretty irritated by this whole gluten free fad as i used to call it for years now so for me to be even considering it is a breakthrough,anger
i feel like im being a rebellious teenager refusing to eat because my psychiatrist told me i must gain those lbs,anger
i was feeling pretty fucking bitchy earlier today it didnt help that i somehow managed to erase all songs off my ipod,anger
i feel really pissed at blabbermouth,anger
im feeling bitchy tonight so there,anger
ive been feeling quite agitated and ive put it down to stress of exams and being unwell but i think there are other things playing on my mind,anger
i feel impatient to get moving forward,anger
ive been taking to stop the bleeding in my guts has left me feeling far more irritable and violent than usual,anger
i also feel a little selfish when i get excited about hitting it off with our friends friends because it makes me feel victorious in our choices,anger
i cant help but feel that i somehow fucked things up too though,anger
when i felt the smell of industries that pollute,anger
i feel even more vile and fat than i ever have in my life i just cant believe i never did anything about it sooner im kind of starting to scare myself with this now though in the sense of whether i have a problem or not like if im going ott im not sure s anyway,anger
i dislike the general party atmosphere i feel as though it is rebellious without a cause people doing things they would not do sober because of societies constraints not necessary because they disagree iwth society then they would do it sober but just because they are under the influence,anger
i have learned to manage my anxiety and channel more positive outlets when i feel stressed such as exercise and music,anger
i have the feeling that some people wouldnt talk to him because he didnt talk back they were offended and often would say rude things back,anger
i dont object to it but when i feel cheated i get infuriated,anger
i said this argument is stupid and petty were adults and she replied im glad you think my feelings are so petty wtf what did i just say,anger
i wear and i actually feel quite personally insulted when you say that i have no taste,anger
i feel the waves of pain and now the tide comes in again caught in a vicious cycle of despair give me the strength to face another day oh sing a song of joy sweet childhood never desert me time for celebration oh,anger
my best friend started moving out with my boyfriend when i heard this my heart sank because i didnt expect that my own good friend could do such a thing,anger
i feel so stressed and depressed and i just cant stop crying and i thought that i should hang out to forget my problems for a while,anger
i had been feeling quite irritable discontent and missioning with stress symptoms in my body when i first read this verse and realised that my body was trying to get my attention to show me that i had some heart matters to take care of,anger
when the bus driver failed to stop and pick me up at a bus stop,anger
i was feeling a tom petty influence whew throwback,anger
i didn t feel a snap coming i felt a ferocious weight bearing down,anger
ill switch to tea in the morning when i feel a cold coming on but i really enjoy coffee,anger
i used to feel so envious of the girls who didn t repeat an outfit for weeks,anger
im feeling quite aggravated from all the caffeine and failed wireless connections,anger
i feel that we were bit snobbish,anger
i was feeling kind of stressed so i decided to do something relaxing and this was the result,anger
i feel kinda bitchy,anger
i can never tell him how i feel and it really sucks because i think he gets really bothered by that,anger
i feel hated and condemned,anger
i live in chaos and it makes my head feel like it is going to explode and the thing that has just angered me hasn t helped,anger
i feel kind of pissed that i missed an opportunity to minimize my scarring leaving the incisions uncovered,anger
i got a feeling they had rushed to put the collection out,anger
i couldnt feel the pain because imma heartless vampire and you know me best,anger
i tried to include my dad as he sometimes seems to feel insulted when he s left out of things but he walked away halfway through the talk as if he just couldn t handle being involved,anger
i leave feeling dissatisfied and as we know with dramas often the heartspeak is stronger than the headspeak,anger
i guess sometimes i just cant forgive when i actualy feel like people are insincere,anger
i feel frustrated when i see so many individual bubbles,anger
i feel towards him the mistrust i have towards her the hateful thoughts of wishing they would just die the many attempts of suicide i have had since it all went down that dark night in july,anger
i am also feeling a bit bitchy about the way things are when we have conversations and others are around,anger
im fucking terrified and i cant shake the feeling that ive irreparably fucked up everything for myself,anger
i think these two classes of people might feel offended because they might feel that they are suckers for these big tobacco companies since they are contributing by willingly giving their money to these rich people,anger
ive been feeling this coming on for days now but since i am held back by vicious dial up and a father that whres our internet connection at every precious hour of his waking day i have been stifled,anger
ive been feeling pretty stressed about leaving so i considered this to be the cherry on top of a rubbish situation,anger
i was given the other night i was told that when i feel frustrated with my children that is the time i need to turn to my father in heaven and ask for guidance,anger
i briefly mentioned an incident that left me feeling bitter and angry,anger
i was feeling impatient and went with it,anger
i did everything in my power to avoid the feeling of being hated by all means necessary,anger
i argue with someone or have a disagreement i always feel like i ve been totally wronged unless i get them to change their opinion,anger
i don t feel as mad at him as i did before,anger
i really have nothing to say to this that isnt a screaming yelling ranting raving teenage girl feeling emo and hateful at the moment,anger
i feel violent to take full advantage of flickr you should use a javascript enabled browser and a href http www,anger
i feel grumpy in response to that,anger
i had a wee leaving us all cold soggy and feeling rushed,anger
i feel the inner mad scientist lurking nearby,anger
i had the feeling that he was very seldom rude to anyone,anger
id done that though it kind of did a on me and i found myself sympathizing with the demons as the church called them and feeling more disgusted with the people who were supposed to be trying to fight them off,anger
im so proud of her and the decisions that shes made but i also feel selfish because im going to miss her so much,anger
i was sitting in the bus and a man with a very unpleasant smell came and sat next to me,anger
i do feel irritable having missed aikido,anger
i feel like my message if it were a song would be mamas don t let your babies grow up to be rude impolite bullies,anger
i have every right to feel offended by their opinions about me,anger
i feel on my face the cold sweat behind my neck the way my arms shiver how i can t feel my legs,anger
i dont necessarily feel absolutely rebellious as we speak i do feel somewhat isolated and misunderstood,anger
im still feeling that grogginess in my throat and unfortunately a cold coming on but so far this looks like the calm before the storm of sneezing coughing etc etc,anger
i would never feel cranky or irritable because i was hungry,anger
having been unjustly punished,anger
i feel fucked up in the head and heading to that deep dark hole to lick my wounds and whine,anger
i also believe you should feel so disgusted in yourself that you cant look in the mirror,anger
i didnt want to hurt your feelings or make you mad,anger
i start feeling aggravated about everyday life im going to try this and hopefully it will help me remember that i have a great life,anger
i woke up in the middle of the night feeling very bothered,anger
i feel that i rushed my piece in places and therefore hope to slow down for my next task,anger
i feel agitated repressed within the own prison of my words,anger
i feel so jealous and so angry,anger
i really dont know how i can sit here and feel so wronged so victimized but i do,anger
i was just ironing yesterday and feeling cranky at the fact that my land s end clothes show any and every stain and i wear aprons,anger
i was feeling a little stubborn like that,anger
i have been feeling irritated with knitting lately it seems a huge waste of time for a material possession i most likely won t be happy with anyways,anger
i realized reading your comments that i was so busy feeling outraged by the anti gay hate speech i hardly noticed the perverted christian doctrine,anger
ill feel selfish because theyre wasting all this time and money on me only for me to keep doing it,anger
i don t love her any less and i get the feeling that she thinks she can keep doing fucked up shit to me and i ll never stop being her friend,anger
i ran up points yet feel a little bit dissatisfied because i left randy moss and his tds on the bench,anger
i feel the need to be distracted when i m doing certain things,anger
i feel all agitated and moody and wanting wanting wanting,anger
i remembered reading training paynes entry about him feeling irritable a few weeks ago and it clicked,anger
ive had what feels like a savage uti it all started after i had sex with someone and didnt go to the bathroom afterwards,anger
i said in the beginning of this article i know i should feel angry today but i just don t,anger
i feel so pissed off that i can bite off a fucking tree log,anger
i don t like feeling this way and now i m grumpy,anger
i just remember feeling so outraged that she spilled red wine on my dress and thinking good going buy your little daughter beer why dont you,anger
